comment,SEJ_label,PEJ_label,MRJ_label
돌대가리냐? 매번 북한에 퍼주고 당하게?,1,1,1
지원하면 모두 노동당과 김정은 주머니로 들어갈것이다.  적십자회비는 필요없겠군.,1,1,1
돈아깝다 보내지마라 ㅡㅡ 짱나게,1,1,0
12년이면 문재인때도 안하던걸ㅋㅋㅋ 이명박이 3년차부터 안했다는것 아닌갘,0,1,0
ㅋㅋㅋ역시 노빠 두창이 좌파의 표본 똥뿌려주니까 쌀로갚아주는 창조경제 대 두 창ㅋㅋㅋㅋㅋㅋㅋ그냥 안보는 좌파,1,1,1
줄리변이나한바가지풍선에띄워보내라,1,1,1
김기환  당연히  징계 받아야지~~~,0,1,1
울산시당 징계가 너무 더뎌서 이해가 안갑니다..ㅠㅠ,0,0,0
"진짜로  밥맛없는소리 하고있네사람이 나이를 먹어면. 똑바로
먹어야지 ᆢᆢ",1,1,1
김기환 의원님  이사태에  책임자 입니다  변명 ㆍ남탓 하지마시고  관련자와 함께 책임지고 사과하시고 탈당하심이  어떨지요,0,0,0
"도데체 뭐 저런 인간들이 있노~당장 묶어 징계 받아야지~^
화닥질 나구만",1,1,1
김기환 안수일  당연히  징계 받아야  되는데~~~울산시당은  뭐하는지  참으로  답답하네요~~,1,1,1
김기환 당연히 징계 받아야 합니다~~,0,1,0
동네에서 뭐하는 짓이고? 전반기 의장이 중간에서 누구편드는건 또뭐하자는건가? 참 어이없다,0,1,1
김기환의원의 전반기 의장으로써 공평하지못한마음가짐에 몹시 화가나네요!!울산시당은 빨리 이상황을 해결해주시고  김기환의원 징계~당연합니다,0,1,1
니들이 방송장악해왔잖아...그나마 좀 젊잔고 그런줄  알았는데 이놈두 양심에 털란 웃기는 놈이네,1,1,1
"동연아....민주당에서 그랬잖아, 임명되기도 전에 탄핵하겠다고...너네들이 그 딴 짓을 하니까 그런 것이지...너도 참 졸라 편향되어 있는 넘이다잉...",1,1,1
왜 늙은 것이 주제넘게 헛소리하는 걸 뉴스에서 봐야 하는가?,1,1,1
경기도정이나 잘해라.쓸 데 없는 일에 나서지 말고.경기북도 이상한 이름 붙이려다 욕 바가지로 쳐먹고 꼬리 내린 일 잊었냐.,1,1,1
"동연아, 문재인이가 방송장악 폭주한 것은  어떻게 생각하냐?",1,1,1
미치지 않고서야 어찌 온 정신으로 대한민국에서 살아 갈 수 있을까????,1,1,1
동연아! 야당하는 짓은 보이지도 않냐? 본래부터 이어지는 수순인데 새삼스럽게 뭘 그러냐? 임명된지 하루만에 탄핵이라니?,1,1,1
김동연이 문재앙을 잊었나... 합법적 절차에 따른 의결이다.,1,1,1
우리나라 좌파는 멀해도안되  정은이 바라기만 하는 좌파는 죽엇다,1,1,1
니들이 방송장악 해야 정상이란 얘기네  아무튼 좌파들 뇌구조는  단순해,1,1,1
지 사적 범죄로 깜빵에 안가려고 민주당장악 폭주 도 한참    진즉....넘은  전과7범 예약한 생계형 잡범은 안보이요 ?,1,1,1
빵깡하고 주유깡하고 와인 처마시고  호텔에서 뒹굴뒹굴 석여리 국짐에 안성마춤이네,0,1,1
잘한다 이재명 보다 낫다,0,0,1
뻔히 다 아는 사실을 범복하네 너무 조용하니 존재감이 사라지더이까,1,1,1
그럼 대안이 뭐냐구? 너희들 입맛에 맞는 사람 세워? 뭐 어쩌려구? 너희들이 그러면 그럴수록 지지율 떨어진다,1,1,1
더불어만진당을 관통하는 딱 하나의 키워드!    내로남불!!!,1,1,1
선비 중에 선비. 할말은 하시는 김동연 도지사님 응원합니다.,0,0,0
동여나..니가 방송 장악이 뭔줄이나 알고 이바구 하니? 도지사질 이나 잘혀..관종질 말고..,1,1,1
"원칙도 기준도 없어보이고. 그냥 지 맘에드는 인사면 그냥 싸인이여. 민주적 절차 다 무시,, 저런인간 디민 국짐당이 역사의죄인이다.",1,1,1
김동연씨문통때와 그전에 mbc허위 방송은 잘한거지? 입쿡 하더만 소득주도 성장이아니라. 소득주도 경제 망친. 소득주도 경제 푸어 만든 문통과. 김동연,1,1,1
경기도 일이나 잘하면 되요 북한과 스마트팜 어쩌구 하면 안되고  국민 알 권리로 전에 추진했던 스마트팜 저쩌구 모두 까발려줘요,0,1,1
문재인씨도 적폐청산한다고 방송장악했단다. 문재인은 괜찮은거였나? 문재인은 방송장악하자마자 코미디프로 다 없앴자나? 기억들 안나시나?,1,1,1
ㅋㅋㅋ 얘도 갈수록 도를 넘네~ 관종!,1,1,1
경기도지사 왜이러지.문재앙한테나 할말을 왜 여기서 민주당방송아니었나,1,1,1
친중장개 하수인 동연아 입좀 다물어라 그냥 입만 열면 이것들은 장개들 빠는 소리에 나라망칠 짓거리만해되고 정신좀 차려라 니들 친중짓이 얼마나 갈것 같냐,1,1,1
동연이도 물들어 큰일이야.  사람은 좋아보는데 영~~  보는 눈이 없어.,0,1,1
"김씨  말은  똑바로  해라....임명전에   만지당 것들  탄핵 기획을  하는데??? 법에따라  업무는 하여야 하지???
도지사 정도면  알만한데???",0,1,1
김동현 너는 야당의 탁핵사태가 정상이라고생각하나. 양심이 있으면 이런 소리 못한다.,1,1,1
나는 윤정부가 이래서싫다 누가 대통령되도 같다지만 이 정부는 정말 아니다 그런데도 지지하는 인간들이 더 이상함.,1,1,1
또 무혐의로 털어주겠지,0,1,1
여사는 무슨...여사가 뉘집 개이름이냐?,1,1,1
조사는 개뿔~~~ 그냥 혐의 벗겨주기라고해!,1,1,1
매번 쓰레기장에서 주워 오는 윤가야 최소한 재활용장이라도 가라,1,1,1
"C급 아래에는 D급, 아니 저건 폐급..",0,1,1
쓰레기중 쓰레기만 모으는 정부. 참...,1,1,1
윤가야 윤가야 닥쳐올일을  어찌할라고 니는 그냥감옥가면되지만  죄없는 세금내고 열심히 사는 국민은 어쩌노,1,1,1
돌려막기정권 참 기가차다 너네들은 지나가는  💩  🐕   만도 못하다,1,1,1
"참 인물 없다.이 모든 현실은 윤석열 투표한 경상도 도그피그들이
책임져야 한다",1,1,1
"고용장관이면, 노동자 입장이 돼야지, 사용자 입장 대변꾼이냐. 태극기부대가 장관인 나라. 보수도 아니고 골통 극우세력~",1,1,1
