comment,SEJ_label,PEJ_label,MRJ_label
민주당 입장좀 들어보자 어떻게 했으면 좋겠니?,0,0,0
"민주당이다~수거해라
뭐하냐~?",0,1,0
날려보내다가 생화확물질도 넣어보내는거아냐?? 무섭다,0,1,1
민주건달당 한 마디도 못한다. 특히 죄명이 호구 잡힘.,1,1,1
대북방송과  전단지를 예전처럼 빵빵하게 해라~문죄인이  헤벌레하면서 만든 대북정책이 민낯이 이것이다,1,1,1
저런거 하나 날라오는것도 탐지 못하니.   전쟁나면 다죽겠군. 드론. 풍선에. 생화학물질.달아서 보내면. 꼼짝없이 수도권. 국민. 수천명씩 죽는거야,1,1,1
집권당이 민주당이라고 생각하는 노인들이 많구나,1,1,0
전과4범사기꾼  재명이는  한마디해라~,1,1,1
리짜이밍 집에 다 보내주길 모아서,0,1,0
문재인이 쏘아올린 작은 똥풍선.,0,1,1
정부는 이에 대해서 어떻게 대응할 것인가,0,0,0
성학이형 우리도 삐라 날리자,0,1,1
경상도 뭐하냐 얼른 주워다 윤재앙 나눠주고 맞서 싸워야지 뭔 만진당 타령이냐 안보는 보수라며?,1,1,1
오죽했으면 오물을 날릴까...!!! 궁지에 몰리면 쥐도 문다고 했는데...!!,1,1,1
북한 쓰레기 떨어지는 평누도,1,1,1
"누구땜에ㅓㅕ부칸똥풍선새래받아야하나... 진정받을것은여이도에잇는데
와.... 무죄백성들이맞으야되... 손해배상십억대청구할일...",0,1,1
오물은 모아서 양산에 사시는 분에게 선물로 보내세요,1,1,0
우리도 쓰레기 소각로 대신 북측으로 전달하면 되겠네,0,1,1
이런일에는 말한마디안하는것들,1,1,1
보내도 참 뭐 같은거 보내냐,0,1,1
저걸 나라 취급하고 체제 유지 시켜주려는것들.. 민주당 것들이지,1,1,1
정은아!! 담부터는 종량제봉투 사용해!!!,0,1,0
경기도가 거의 민주당이지? 북한에서 민주당한테 선물주는거네 ㅎㅎ,0,1,1
이런 욕나오는짓하는데 여전히 평화통일외치는 정신나간당 존재한다는게 웃기네,1,1,1
바이러스 보내겠네 조만간  비행기띄워라 폭탄인줄알았다고,0,1,1
돈달라고 난리를 쳐대네,1,1,0
Cbㄹ..풍선 무진장 도착전에 리턴 했나  보네...애들한테  풍선 선물..그리고 먹을 거나 챙겨 주시디!!,1,0,1
현시간부로 원조하는 당은 절대 지지하지 않는다,0,0,0
뭐냐 저딴거도 못막는데 미사일을 어케 막는다는거냐 군대 왜 있냐??,1,1,1
확성기설치하고 우리도날려,0,1,1
"진짜  치사한 놈이네   국가로서  할짓이냐???
진짜 치졸하다   정은아    당장 멈춰라",1,1,1
우리군도 오물풍선 답례로 1000개만 보내줘라,1,1,1
대처 능력도 없는 모지리들!,1,1,1
무섭다 저기 독가스라도 들어있으면 그냥 무방비로 당하는거네,0,1,1
"우리나라에 쓰레기 많이 나온다며, 그대로 보내주자 ㅋㅋ",0,1,1
"이쯤되면, 우리도 개딱북국돼지쎼쎼당 인간들을 풍선에 메달아 북으로 보내야지 않나요? 북한이 오물을 보내면 우리도 오물을 보내야죠",1,1,1
지금 정권은 윤석열 정권입니다.,0,0,0
게병대vs 오물렛 인가?,1,1,0
윤또라이정부가조작할수있다 진실여부확인하쟈  시국을이러케만든장본인들  확인하자 실미도사건을보더라도  애꾸준 행태어설푸지안나?현시국잠재우려고 거짓선동,1,1,1
우리도 대북확성기 한번 신나게 틀어보자,0,1,1
쌀 하고 달러 라디오 뿌려주면 똥으로 되갚은 한민족.  우리 주적은 북한 동포들이 아니고 김씨 일가와 그들에게 부역하는 측근 세력이다,1,1,1
얼마나 얕잡아보였으면ㅉㅉ 윤정부에 딱맞는 대우네,1,1,1
한겨레 ㅋㅋ 댓글 조용하네  입이 다들 붙었냐? ㅋㅋ,1,1,1
갱애 하는 어버이 수령님께서 똥폭탄을 투하 하시니 한겨레가 축제 분위기일듯.,1,1,1
그랴90봉다리 용산멧돼지한테 줘라,1,1,1
우리도 쓰레기 많은데 국짐놈들 하나씩 실어보내면 어떨까..,1,1,1
트럼프는 이런 녀석하고 무슨 협상을 한다는건지 같은 수준이라는 건가 끼리끼리,1,1,1
우리가먼져보냈으니~그들이 가만있겠냐~~,0,1,0
풍선을 안보내면 이런일이 일어나지 않습니다.,0,0,1
우리도 북한땅에 거름좀 날려주자,1,1,0
이 정권이 더럽다는 표현일세~~!!!,1,1,1
그냥 겁주는게 아니라 반응 살피며 예행연급하는거 같지 않나??,0,0,0
너무 미개하고 불쾌하다.. 북한주민들 생각하면 안쓰럽고...,1,1,1
"그전에는 안 날라왔냐? 서울시와 행안부가 이제 이것도 이용하네!  조중동은 도배하고
총력전이야? 김치찌개쇼부터 물타기야?",1,1,1
초대형 그물을 깔대기 대형으로 설치해서 대통령실 창문 안으로 풍선이 쌓이게 한다면?,0,0,0
개봉하지말고 새풍선 교체해서 그대로 북으로 돌려보내라,1,1,1
얘네도 하는 짓이 점점 구질구질 해지는구나.,1,1,1
"대북풍선 그만 날려보내라, 이게 뭐꼬",0,1,1
우리는 보내도 되고 제내는 보내면 안되는거여..,0,1,0
공격용 헬기 100억짜리 2000대 더 준비합시다그래야 20조 밖에 안든다 쳐신 병기 미사일 더준비해야,1,1,1
그걸 다 수거해서 양산에 갖다 주면 좋겠습니다.남북공동성명은 어떻게 됐습니까?우리가 북한에 무엇을 어떻게 잘못 했습니까?,0,1,0
보수놈들 북으로 보낼때는 좋았지?  니들이 책임지고  쓰레기 처리해라.,1,1,1
문재앙의 찬란한 업적!,1,1,1
"그만해라, 자꾸하면 수준 떨어진다",1,1,1
"군이 존재하는 이유를 상기 시켜라우리나라는 휴전국가다..
적이 도발하는데 어떠한 조치도 하지 않는게 무지다..
대응사격해라..",0,1,1
